title,author,pub_date?,description,tags,url,image_url,posted_by,posted_on
Two Trains,Brian Foo,,Sonification of Income Inequality on the NYC Subway,Audio,https://datadrivendj.com/tracks/subway/,http://brianfoo.com/assets/works/two_trains.png,ayejay,
Why Love Generative Art?,Jason Bailey,08-26-2018,"Over the last 50 years, our world has turned digital at breakneck speed. No art form has captured this transitional time period - our time period - better than generative art.",General,https://www.artnome.com/news/2018/8/8/why-love-generative-art,https://static1.squarespace.com/static/59413d96e6f2e1c6837c7ecd/t/5b71be15898583e222ded31f/1535297978853/Substrate+-+Jared+Tarbell%2C+2003?format=1500w,ayejay,
How to Create Generative Art In Less Than 100 Lines Of Code,Eric Davidson,11-05-2018,"Generative art is the output of a system that makes its own decisions about the piece, rather than a human. The system could be as simple as a single Python program, as long as it has rules and some aspect of randomness.",How to/Python,https://medium.freecodecamp.org/how-to-create-generative-art-in-less-than-100-lines-of-code-d37f379859f,https://cdn-images-1.medium.com/max/2400/1*zMSR6lwGpWySHyxC5kagFA.jpeg,ayejay,
Generative Art - Etsy,,,"Art created through the use of autonomous systems, such as natural language rules, algorithms, genetic sequences, machines, or procedural interventions.",Products,https://www.artsy.net/gene/generative-art,https://d7hftxdivxxvm.cloudfront.net/?resize_to=fit&width=400&height=400&quality=80&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FsZxxx6cTC2Xo7yvZBUyPSQ%2Flarge.jpg,ayejay,
You are not in the news,Sergio Albiac,,Art by Sergia Albiac ,Visual Art,https://www.sergioalbiac.com/wall/you-are-not-in-the-news.html,https://www.sergioalbiac.com/images/yanitn0.jpg,ayejay,
GENERATIVE ART: A PRACTICAL GUIDE,Matt Pearson,,"The complete beginners guide to creating generative graphics for print, video and the web. ",Books,http://zenbullets.com/book.php,http://zenbullets.com/blog/wp-content/uploads/2010/11/cover_500_new.png,ayejay,
Art made of data,,,"Seeing patterns and creating beauty — data visualization has become an art form. Meet pioneering artists who use spreadsheets, archives and digital data as their paints and canvas.",Video Playlist,https://www.ted.com/playlists/201/art_from_data,https://pi.tedcdn.com/r/talkstar-assets.s3.amazonaws.com/production/playlists/playlist_201/e310745b-b571-489f-b205-edb35dff822d/art_from_data_1200x627.jpg?quality=89&w=1200,ayejay,
San Francisco unveils Murmur Wall data-driven public art by Future Cities Lab,Future Cities Lab,07-07-2015,Faith in the potential of emerging technologies and the internet of things to make cities more livable has a lot of people talking these days. ,Article,https://www.prnewswire.com/news-releases/san-francisco-unveils-murmur-wall-data-driven-public-art-by-future-cities-lab-300109239.html,https://prnewswire2-a.akamaihd.net/p/1893751/sp/189375100/thumbnail/entry_id/0_7tj4vw6t/def_height/2700/def_width/2700/version/100012/type/1,ayejay,
News Knitter,,,News Knitter is a data visualization project which focuses on knitted garments as an alternative medium to visualize large scale data.,Products,http://casualdata.com/newsknitter/,http://casualdata.com/newsknitter/gfx/banner.jpg,ayejay,
The Sound of the Sun's Ultraviolet Rays during One year (2011),,,In this video  the 170 days in which the UV-B could be measured at or near solar noon during 2011 are transformed into representative musical notes.,Audio,https://www.youtube.com/watch?v=VsRCrh6XWog,https://i.ytimg.com/vi/VsRCrh6XWog/maxresdefault.jpg,ayejay,
Does the ocean sound salty or cold? ,Diane M. Fresquez,06-07-2018,Turning data from underwater robots into music,Audio,https://www.sciencesquared.eu/news/does-ocean-sound-salty-or-cold-turning-data-underwater-robots-music,https://www.sciencesquared.eu/sites/default/files/styles/flexslider_full/public/oceansound.png?itok=lwaLVxR1,ayejay,
Rhapsody in Grey,brian foo,,Using Brain Wave Data to Convert a Seizure to Song,Audio,https://vimeo.com/121042482,https://i.ytimg.com/vi/gNV3t8XwX2M/hqdefault.jpg,ayejay,
Scientists can listen to proteins by turning data into music,Elsevier,10-26-2016,Transforming data about the structure of proteins into melodies gives scientists a completely new way of analyzing the molecules that could reveal new insights into how they work - by listening to them.,Audio,https://phys.org/news/2016-10-scientists-proteins-music.html,https://www.elsevier.com/__data/assets/image/0008/213776/protein_data_as_music.jpg,ayejay,
Neither You Nor I,,,"A commissioned sculpture for Battersea Park London (Battersea Sculpture Prize 2016), designed to visualise and explore the natural phenomena of the wind.",Sculpture,https://www.dariajelonek.com/Neither-You-Nor-I-Generative-Sculpture,https://payload.cargocollective.com/1/13/429881/11325353/01_16_1600_c.jpg,ayejay,
